YearMonth,Imperial Terminal,Misc. Terminal,Terminal 1,Terminal 2,Terminal 3,Terminal 4,Terminal 5,Terminal 6,Terminal 7,Terminal 8,Tom Bradley International Terminal
09/2013,87,148306,741748,60527,425742,655805,558912,531172,453760,220467,18901
10/2013,0,129400,803093,66814,457815,719361,593067,536682,494289,229334,16837
11/2013,0,142765,767005,54978,393421,664829,506349,497579,457516,218098,14532
12/2013,0,163864,865392,69241,468264,756535,568183,559090,531379,259512,17632
01/2014,161,155848,761915,58675,424497,685594,587025,507224,464894,217871,13966
02/2014,0,143887,581573,50419,459139,616112,543397,450364,423421,205662,9721
03/2014,78,162817,668422,57958,618943,744811,697701,570438,519759,226666,10834
04/2014,0,145764,653182,54676,627531,725933,680732,593490,504313,229734,15086
05/2014,0,155490,686041,69089,664870,751140,694058,596705,550792,243336,15089
06/2014,0,150900,772684,78164,735194,761726,718016,682846,591388,252503,22429
07/2014,0,162012,773439,109885,767167,799357,826512,642676,634967,256550,23941
08/2014,0,121903,753178,108375,753675,802448,786232,620650,613354,252353,23645
09/2014,0,94696,637936,80991,610623,695370,649752,555627,481397,206482,22949
10/2014,0,99605,701527,75953,652872,770891,692238,546024,531375,228805,22015
11/2014,0,92305,678784,70182,459947,670345,595918,520729,588011,274902,17928
12/2014,0,96291,731799,86716,474414,717084,652880,611067,645879,302902,19979
01/2015,0,99125,623065,68011,431657,646859,589821,538438,593042,247578,18244
02/2015,0,95593,591061,59180,389709,595577,578509,500544,517145,251367,13214
03/2015,0,109805,736764,73147,465624,739453,742648,642523,573099,337235,18064
04/2015,0,181014,730489,67927,482829,714894,720231,551365,546720,330227,19509
05/2015,0,196402,770811,83721,549417,720309,766875,582646,544698,385755,21722
06/2015,0,200870,761105,106946,596014,769762,785157,646514,599389,415011,22476
07/2015,0,201052,786240,121014,638990,785675,807202,733269,648783,427911,29405
08/2015,0,196567,734002,114706,623517,759117,799505,729737,611785,422807,32335
09/2015,0,168178,643522,81408,530343,657461,705562,587014,514489,364732,31140
10/2015,0,185059,712425,78728,585707,697003,733522,662919,553769,389686,32102
11/2015,0,170754,754967,76601,570781,673935,727170,628325,487793,341359,18565
12/2015,1167,190674,770950,90503,607537,709692,710915,651180,541795,358861,22529
01/2016,2265,187411,671231,75062,560586,761505,653464,584622,469051,310381,20529
02/2016,1171,176380,627986,63282,534429,572277,649291,550612,446023,288552,50320
03/2016,0,188833,783813,78077,617554,677745,846794,636971,517928,340508,49641
04/2016,0,187202,775080,79665,624601,645816,781780,618172,491821,324371,55389
05/2016,0,203535,822674,90245,684894,680295,826575,646303,558448,354964,51369
06/2016,0,249949,834021,120205,740416,825787,885352,716116,580016,397943,69887
07/2016,0,258385,826218,131209,792870,807118,934536,725710,630659,395421,81840
08/2016,0,242327,821895,116255,755031,800341,833222,722169,606648,390209,71081
09/2016,0,223652,768922,85102,671360,662591,751921,581459,573272,306117,60473
