TypeDescription,Score,Grade,Latitude,Longitude
FOOD SERVICE,99,A,38.2564,-83.7446
"RETAIL-FOOD  10,000 SQ FT OR LESS",94,A,38.2078,-85.7862
FOOD SERVICE,100,A,0,0
FOOD SERVICE,99,A,38.2569,-85.756
"RETAIL-FOOD  10,000 SQ FT OR LESS",99,A,38.1573,-85.842
FOOD SERVICE,96,A,38.1819,-85.637
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.1836,-85.6395
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.196,-85.8243
FOOD SERVICE,98,A,38.2214,-85.756
FOOD SERVICE,96,A,38.2127,0
FOOD SERVICE,,,38.1946,-85.8041
"RETAIL-FOOD  10,000 SQ FT OR LESS",99,B,38.1343,-85.6846
FOOD SERVICE,99,A,38.1415,-85.6708
SCHOOL CAFETERIA OR FOOD SERVICE,96,A,38.1221,-85.8718
PRE-PACKAGED RETAIL,,,38.1255,-85.6658
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,97,A,38.2491,-85.7818
FOOD SERVICE,100,,38.1452,-85.4448
FOOD SERVICE,95,A,38.2093,-85.639
"RETAIL-FOOD  10,000 SQ FT OR LESS",89,C,38.1776,-85.6239
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,,38.1451,-85.8723
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,A,38.2537,-85.7014
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,,38.2537,-85.7014
FOOD SERVICE,94,A,38.1142,-85.7712
"RETAIL-FOOD  10,001 SQ FT OR OVER",97,A,38.1573,-85.836
FOOD SERVICE,98,A,38.1428,-85.6887
PRE-PACKAGED RETAIL,100,,38.1904,-85.7476
CATERERS,97,A,38.24,-85.7304
FOOD SERVICE,92,C,38.2699,-85.5534
FOOD SERVICE,98,A,38.2839,-85.6325
FOOD SERVICE (HOSPITAL / NURSING HOME,100,A,38.1837,-85.6068
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.2234,-85.7062
FOOD SERVICE,94,A,38.2324,-85.6398
PRE-PACKAGED RETAIL,100,,38.2422,-85.7444
"RETAIL-FOOD  10,000 SQ FT OR LESS",91,A,38.2342,-85.7321
FOOD SERVICE,97,A,38.2343,-85.7395
FOOD SERVICE,99,A,38.105,-85.8678
PRE-PACKAGED RETAIL,99,,38.2451,-85.7544
FOOD SERVICE,,,38.1957,-85.5659
FOOD SERVICE,,,38.2253,-85.578
FOOD SERVICE,100,A,38.1704,-85.7089
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,A,38.1567,-85.713
"RETAIL-FOOD  10,000 SQ FT OR LESS",94,A,38.2504,-85.8103
FOOD SERVICE,,,38.2554,-85.7441
"RETAIL-FOOD  10,001 SQ FT OR OVER",,,38.2906,-85.5089
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,,38.297,-85.5109
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,,38.297,-85.5109
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.2251,-85.7574
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.2222,-85.7588
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.2505,-85.6739
FOOD SERVICE,,,38.2492,-85.787
FOOD SERVICE,,,38.2492,-85.787
"RETAIL-FOOD  10,000 SQ FT OR LESS",99,,38.1889,-85.7656
PRE-PACKAGED RETAIL,100,,38.2599,-85.7094
FOOD SERVICE,100,A,38.1673,-85.7058
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.2507,-85.822
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.2495,-85.7787
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,A,38.1394,-85.7543
"RETAIL-FOOD  10,000 SQ FT OR LESS",92,A,38.1559,-85.6585
"RETAIL-FOOD  10,001 SQ FT OR OVER",97,A,38.1392,-85.6206
FOOD SERVICE,77,C,38.2074,-85.6676
FOOD SERVICE,97,A,38.2419,-85.5762
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,A,38.193,-85.7513
FOOD SERVICE,98,A,38.2586,-85.7883
FOOD SERVICE,97,A,38.24,-85.7233
STATIONARY RESTRICTED CONCESSON,100,,38.2041,-85.7717
FOOD SERVICE,98,,38.2359,-85.7832
FOOD SERVICE,97,A,38.1642,-85.7009
CATERERS,96,A,38.2368,-85.7614
STATIONARY RESTRICTED CONCESSON,99,,38.2296,-85.6045
FOOD SERVICE,97,A,38.2515,-85.7608
FOOD SERVICE,100,A,38.138,-85.443
FOOD SERVICE,93,C,38.253,-85.7358
"RETAIL-FOOD  10,001 SQ FT OR OVER",95,A,38.1605,-85.8985
"RETAIL-FOOD  10,000 SQ FT OR LESS",91,A,38.2289,-85.7577
FOOD SERVICE,97,A,38.2301,-85.704
FOOD SERVICE,98,A,38.3413,-85.6204
FOOD SERVICE,96,A,38.2934,-85.5581
"RETAIL-FOOD  10,000 SQ FT OR LESS",90,A,38.1117,-85.837
"RETAIL-FOOD  10,000 SQ FT OR LESS",92,,38.1117,-85.837
"RETAIL-FOOD  10,000 SQ FT OR LESS",88,,38.2604,-85.6874
FOOD SERVICE,89,A,38.1068,-85.7245
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,A,38.2683,-85.783
FOOD SERVICE,,,38.1003,-85.8719
FOOD SERVICE,99,A,38.2399,-85.7245
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,,38.2478,-85.7581
STATIONARY RESTRICTED CONCESSON,100,A,0,0
FOOD SERVICE,100,A,38.2557,-85.7153
FOOD SERVICE,99,A,38.2557,-85.7153
FOOD SERVICE,100,A,38.2557,-85.7153
FOOD SERVICE,100,A,38.2557,-85.7153
FOOD SERVICE,100,A,38.2557,-85.7153
FOOD SERVICE,98,A,38.2164,-85.5963
SUPERMARKET WITH PROCESSING,94,,38.2242,-85.7932
FOOD SERVICE,98,A,38.1092,-85.8651
FOOD SERVICE,99,A,38.2725,-85.5694
FOOD SERVICE,94,A,38.2088,-85.7156
PRE-PACKAGED RETAIL,94,,38.4729,-85.7608
FOOD SERVICE COMMISSARY,100,A,38.217,-85.571
FOOD SERVICE,100,A,0,0
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.279,-85.6221
FOOD SERVICE,99,A,38.2933,-85.5584
"RETAIL-FOOD  10,001 SQ FT OR OVER",97,,38.1677,-85.8259
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.1323,-85.876
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.1081,-85.8721
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.1406,-85.6176
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,77,C,38.1986,-85.6862
FOOD SERVICE,100,A,38.131,-85.453
FOOD SERVICE,,,38.2462,-85.7328
FOOD SERVICE,100,A,39.1748,-85.688
"RETAIL-FOOD  10,000 SQ FT OR LESS",92,,38.293,-85.5594
FOOD SERVICE,100,,38.1553,-85.4331
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,,38.1996,-85.7333
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,,38.1996,-85.7333
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,,38.1996,-85.7333
FOOD SERVICE,100,A,38.2551,-85.7583
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,,38.253,-85.7526
FOOD SERVICE,96,A,38.1506,-85.8371
"RETAIL-FOOD  10,000 SQ FT OR LESS",99,A,38.23,-85.7032
"RETAIL-FOOD  10,000 SQ FT OR LESS",99,,38.2378,-85.7867
FOOD SERVICE,100,A,38.2552,-85.7439
FOOD SERVICE,100,A,38.2554,-85.7534
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,98,A,38.1546,-85.659
FOOD SERVICE,100,A,38.3282,-85.6348
FOOD SERVICE,100,A,38.1484,-85.5865
FOOD SERVICE,96,A,38.1447,-85.8598
FOOD SERVICE (HOSPITAL / NURSING HOME,100,,38.2823,-85.6373
FOOD SERVICE,97,A,38.22053,-85.58385
FOOD SERVICE,92,A,38.2549,-85.7579
FOOD SERVICE,98,A,38.2537,-85.6621
FOOD SERVICE,90,A,38.1358,-85.7159
"RETAIL-FOOD  10,001 SQ FT OR OVER",91,,38.2271,-85.8067
FOOD SERVICE,,,38.1813,-85.816
FOOD SERVICE,,,38.2273,-85.7352
FOOD SERVICE,87,C,38.2359,-85.7157
FOOD SERVICE,95,A,0,0
FOOD SERVICE,98,,38.29715,-85.55242
FOOD SERVICE,98,A,38.2178,-85.7556
FOOD SERVICE,92,,0,0
FOOD SERVICE,92,A,0,0
FOOD SERVICE,100,A,38.2557,-85.7456
FOOD SERVICE,99,A,38.2557,-85.7456
"RETAIL-FOOD  10,001 SQ FT OR OVER",93,C,38.1594,-85.6606
FOOD SERVICE,93,C,38.2446,-85.5761
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.1854,-85.7844
FOOD SERVICE,96,A,38.2043,-85.7636
FOOD SERVICE,100,A,38.1484,-85.5865
FOOD SERVICE,,,38.2299,-85.7658
PRE-PACKAGED RETAIL,98,,38.1438,-85.7768
FOOD SERVICE,94,A,38.2504,-85.7598
FOOD SERVICE,95,A,38.2277,-85.7756
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,A,38.2101,-85.6393
FOOD SERVICE,97,A,38.1928,-85.5681
"RETAIL-FOOD  10,000 SQ FT OR LESS",93,A,38.1373,0
FOOD SERVICE,99,A,38.1505,-85.8377
FOOD SERVICE,94,A,38.1318,-85.7915
PRE-PACKAGED RETAIL,100,,38.192,-85.8072
FOOD SERVICE,100,A,38.256,-85.7545
FOOD SERVICE,100,A,38.2467,-85.7494
FOOD SERVICE,83,C,38.2451,-85.7034
PRE-PACKAGED RETAIL,98,A,38.2467,-85.7657
FOOD SERVICE,96,A,38.2521,-85.7448
FOOD SERVICE,100,A,38.22053,-85.58385
"RETAIL-FOOD  10,000 SQ FT OR LESS",99,A,38.1305,-85.682
FOOD SERVICE,98,,38.25323,-85.78167
STATIONARY RESTRICTED CONCESSON,99,A,38.1772,-85.7094
FOOD SERVICE,99,A,38.1885,-85.5644
FOOD SERVICE,99,A,38.2116,-85.6675
PRE-PACKAGED RETAIL,99,,38.1987,-85.6599
FOOD SERVICE,96,A,38.1663,-85.602
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,,38.2061,-85.7659
FOOD SERVICE,,,38.1086,-85.6475
FOOD SERVICE,100,A,38.2143,-85.5933
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,94,A,38.197,-85.6614
SUPERMARKET WITH PROCESSING,100,,38.1661,-85.5969
FOOD SERVICE,97,A,38.2367,-85.7291
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.1914,-85.5146
FOOD SERVICE,99,A,38.2166,-85.538
"RETAIL-FOOD  10,001 SQ FT OR OVER",96,A,38.888,-85.6645
"RETAIL-FOOD  10,000 SQ FT OR LESS",95,A,38.3002,-85.5414
FOOD SERVICE,98,A,38.2053,-85.6665
FOOD SERVICE,96,A,38.2386,-85.7367
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.1737,-85.6787
FOOD SERVICE,96,B,38.911,-85.6699
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.2322,-85.819
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.2378,-85.7869
FOOD SERVICE,98,A,38.2715,-85.5694
FOOD SERVICE,100,A,38.2538,-85.7585
"RETAIL-FOOD  10,000 SQ FT OR LESS",99,,38.2503,-85.6252
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,,38.2973,-85.5577
FOOD SERVICE,96,A,38.2264,-85.73
PRE-PACKAGED RETAIL,,,38.2398,-85.7862
PRE-PACKAGED RETAIL,,,38.2006,-85.6601
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,A,38.1968,-86.7986
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,,38.2097,-85.6688
FOOD SERVICE,94,A,38.2045,-85.7653
FOOD SERVICE,80,C,38.1388,-85.6828
FOOD SERVICE,100,A,38.2976,-85.4844
PRE-PACKAGED RETAIL,97,,38.2711,-85.7953
STATIONARY RESTRICTED CONCESSON,100,A,38.1772,-85.7094
STATIONARY RESTRICTED CONCESSON,100,A,38.1945,-85.393
PRE-PACKAGED RETAIL,97,,38.2457,-85.758
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,95,A,38.2426,-85.7551
FOOD SERVICE,98,A,38.2238,-85.6936
"RETAIL-FOOD  10,000 SQ FT OR LESS",,,38.2061,-85.7659
FOOD SERVICE,100,A,38.2203,-85.6356
FOOD SERVICE,100,A,38.2104,-85.5963
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,A,38.1728,-85.7101
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,,38.1728,-85.7101
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,A,38.1656,-85.681
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,99,A,38.1442,-85.6024
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,,38.1445,-85.5837
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,,38.2227,-85.7519
FOOD SERVICE,99,A,38.1542,-85.5904
FOOD SERVICE,96,,38.2498,-85.6129
FOOD SERVICE,97,A,38.1988,-85.7831
FOOD SERVICE,100,,38.1075,-85.8652
FOOD SERVICE,,,38.2407,-85.7249
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,A,38.121,-85.7486
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.2214,-85.582
FOOD SERVICE,85,C,38.1972,-85.6032
"RETAIL-FOOD  10,000 SQ FT OR LESS",95,A,38.1874,-85.7831
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,A,38.1784,-85.6601
PRE-PACKAGED RETAIL,96,,38.2996,-85.5608
PRE-PACKAGED RETAIL,93,,38.2565,-85.7748
"RETAIL-FOOD  10,001 SQ FT OR OVER",,,38.1443,-85.7736
FOOD SERVICE,,,38.2527,-85.6577
FOOD SERVICE,99,A,38.302,-85.5578
FOOD SERVICE,99,A,38.302,-85.5578
FOOD SERVICE,98,A,38.302,-85.5578
PRE-PACKAGED RETAIL,94,,38.2606,-85.8066
FOOD SERVICE,96,A,38.1086,-85.864
FOOD SERVICE,96,A,38.2003,-85.7407
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.2688,-85.693
FOOD SERVICE,98,A,38.2794,-85.6772
"RETAIL-FOOD  10,000 SQ FT OR LESS",99,,38.1305,-85.682
PRE-PACKAGED RETAIL,95,,38.1561,-85.6611
"RETAIL-FOOD  10,001 SQ FT OR OVER",94,A,38.1714,-85.7989
FOOD SERVICE,97,A,38.1997,-85.6607
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,A,38.1574,-85.6972
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,,38.1574,-85.6972
FOOD SERVICE COMMISSARY,97,A,38.149,-85.7578
PRE-PACKAGED RETAIL,96,,38.2006,-85.6601
FOOD SERVICE,96,A,38.2155,-85.5381
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.1724,-85.8671
FOOD SERVICE,98,A,38.1719,-85.5695
FOOD SERVICE (HOSPITAL / NURSING HOME,100,A,38.2146,-85.7165
PRE-PACKAGED RETAIL,87,,38.7961,-85.7886
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,99,A,38.1948,-85.8281
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,99,A,38.1587,-85.6603
FOOD SERVICE (HOSPITAL / NURSING HOME,96,A,38.2504,-85.6452
FOOD SERVICE,100,A,38.2502,-85.6237
"RETAIL-FOOD  10,000 SQ FT OR LESS",,,38.2358,-85.7511
FOOD SERVICE,,,38.2699,-85.5534
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.1808,-85.7856
PRE-PACKAGED RETAIL,95,,38.168,-85.6837
FOOD SERVICE,99,A,38.2948,-85.5584
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.1454,-85.8612
FOOD SERVICE,98,A,38.2242,-85.6936
FOOD SERVICE,100,A,38.2243,-85.6938
"RETAIL-FOOD  10,001 SQ FT OR OVER",98,A,38.2127,-85.5919
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,A,38.2717,-85.5696
FOOD SERVICE,97,A,38.3275,-85.6341
FOOD SERVICE,100,A,38.132,-85.422
FOOD SERVICE,95,A,38.2424,-85.7986
FOOD SERVICE,94,A,38.2228,-85.7391
FOOD SERVICE,95,A,38.2115,-85.7209
"RETAIL-FOOD  10,001 SQ FT OR OVER",95,A,38.2348,-85.7178
FOOD SERVICE,98,A,38.2535,-85.6546
FOOD SERVICE,,,38.2502,-85.6274
FOOD SERVICE,,,0,0
"RETAIL-FOOD  10,001 SQ FT OR OVER",91,,38.1042,-85.7565
FOOD SERVICE,97,A,38.2551,-85.7582
FOOD SERVICE,100,A,38.2475,-85.7477
FOOD SERVICE,100,A,38.2452,-85.742
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,,38.2253,-85.5779
PRE-PACKAGED RETAIL,86,,38.1784,0
FOOD SERVICE,,,38.2867,-85.5758
FOOD SERVICE,,,38.2867,-85.5758
"RETAIL-FOOD  10,000 SQ FT OR LESS",95,A,38.2476,-85.7691
"RETAIL-FOOD  10,000 SQ FT OR LESS",,,38.2491,-85.7848
PRE-PACKAGED RETAIL,,,38.215,-85.7954
FOOD SERVICE,,,38.2604,-85.6872
FOOD SERVICE,96,A,38.2206,-85.7612
FOOD SERVICE,100,A,38.1762,-85.7149
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,,38.1924,-85.6464
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,98,A,38.2481,-85.6049
FOOD SERVICE,98,A,38.2485,0
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,,38.227,-85.769
FOOD SERVICE,100,A,38.2495,-85.485
FOOD SERVICE,94,A,38.1936,-85.8067
FOOD SERVICE,99,A,38.2818,-85.6336
STATIONARY RESTRICTED CONCESSON,100,,38.1449,-85.8711
FOOD SERVICE,91,A,38.1148,-85.8604
FOOD SERVICE,95,,38.23109,-85.76686
"RETAIL-FOOD  10,000 SQ FT OR LESS",,,38.2358,-85.7511
FOOD SERVICE,96,A,38.253,-85.753
FOOD SERVICE,100,A,38.1693,-85.7885
FOOD SERVICE,84,C,38.1558,-85.7121
PRE-PACKAGED RETAIL,96,,38.14,0
FOOD SERVICE,88,C,38.248,-85.7538
FOOD SERVICE,93,A,38.2005,-85.7339
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,,38.2078,-85.7649
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,,38.1791,-85.6239
FOOD SERVICE,96,A,0,0
FOOD SERVICE,98,A,38.155,-85.7126
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,A,38.2534,-85.7567
FOOD SERVICE,100,A,38.2494,-85.7518
RETAIL BAKERY,100,,38.2587,-85.7027
FOOD SERVICE,97,,38.2412,-85.7785
"RETAIL-FOOD  10,000 SQ FT OR LESS",,,38.1657,-85.6009
SCHOOL CAFETERIA OR FOOD SERVICE,99,A,38.1798,-85.7059
"RETAIL-FOOD  10,000 SQ FT OR LESS",81,C,38.1343,-85.6846
SUPERMARKET WITH PROCESSING,99,,38.1961,0
FOOD SERVICE,,,38.2811,-85.6349
FOOD SERVICE,100,A,38.247,-85.7303
FOOD SERVICE,98,A,38.1357,-85.6126
"RETAIL-FOOD  10,001 SQ FT OR OVER",,,38.1605,-85.8985
"RETAIL-FOOD  10,001 SQ FT OR OVER",,,38.1982,-85.6636
FOOD SERVICE,,,38.2408,-85.7525
FOOD SERVICE,99,A,38.865,-85.6686
FOOD SERVICE,96,A,38.929,-85.6809
FOOD SERVICE,95,A,38.3024,-85.5454
FOOD SERVICE,91,A,38.2043,-85.6651
FOOD SERVICE,97,A,38.2047,-85.6645
FOOD SERVICE,94,A,38.2549,-85.6655
FOOD SERVICE,,,38.2498,-85.7943
FOOD SERVICE,,,38.2498,-85.7943
PRE-PACKAGED RETAIL,90,,38.1361,-85.873
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,98,A,38.1191,-85.8585
FOOD SERVICE,95,A,38.1052,-85.8689
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.3209,-85.5671
FOOD SERVICE,99,A,38.2929,-85.5611
FOOD SERVICE,99,A,38.2167,-85.7453
FOOD SERVICE,,,38.2264,-85.73
FOOD SERVICE,,,38.2338,-85.7116
FOOD SERVICE,,,38.2205,-85.7774
"RETAIL-FOOD  10,000 SQ FT OR LESS",,,38.1968,-86.7986
PRE-PACKAGED RETAIL,99,A,38.1933,-85.7505
FOOD SERVICE,96,A,38.323,-85.5658
FOOD SERVICE,100,B,38.1406,-85.6714
FOOD SERVICE,98,A,38.2303,-85.7355
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,A,38.2537,-85.7014
FOOD SERVICE,100,A,38.2413,-85.6267
FOOD SERVICE,,,38.168,-85.6049
FOOD SERVICE,100,A,38.2557,-85.7456
FOOD SERVICE,100,A,38.2557,-85.7456
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,,38.2506,-85.6314
FOOD SERVICE,96,A,38.1356,-85.6847
FOOD SERVICE,95,A,38.2407,-85.7238
FOOD SERVICE,95,C,38.3123,-85.5693
FOOD SERVICE,98,A,38.1801,-85.818
"RETAIL-FOOD  10,000 SQ FT OR LESS",95,A,38.183,-85.8538
FOOD SERVICE (HOSPITAL / NURSING HOME,98,A,38.2412,-85.6286
FOOD SERVICE,100,A,38.2984,-85.6679
FOOD SERVICE,97,A,38.2571,-85.7613
FOOD SERVICE,95,A,38.1512,-85.7644
"RETAIL-FOOD  10,001 SQ FT OR OVER",93,C,38.3403,-85.6214
"RETAIL-FOOD  10,001 SQ FT OR OVER",97,,38.3403,-85.6214
FOOD SERVICE,100,A,38.2902,-85.5111
FOOD SERVICE,95,A,38.2872,-85.5745
FOOD SERVICE,93,A,38.855,-85.8791
FOOD SERVICE,,,0,0
FOOD SERVICE,,,38.2553,-85.7574
FOOD SERVICE,,,38.3116,-85.5736
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.1836,-85.6395
FOOD SERVICE,100,A,38.2079,-85.5375
FOOD SERVICE,98,A,38.2657,-85.541
FOOD SERVICE,90,A,38.2532,-85.6572
FOOD SERVICE,93,A,38.1329,-85.6842
FOOD SERVICE,99,A,38.1301,-85.5761
FOOD SERVICE,99,A,38.2249,-85.7383
FOOD SERVICE,98,A,38.2254,-85.85732
FOOD SERVICE,100,A,38.2571,-85.7486
FOOD SERVICE,95,A,38.1999,-85.684
FOOD SERVICE,100,B,38.1755,-85.7131
FOOD SERVICE,,,38.1683,-85.7068
CATERERS,100,,38.2253,-85.6936
"RETAIL-FOOD  10,001 SQ FT OR OVER",,,38.1993,-85.6675
"RETAIL-FOOD  10,001 SQ FT OR OVER",,,38.1993,-85.6675
FOOD SERVICE COMMISSARY,,,38.149,-85.7578
STATIONARY RESTRICTED CONCESSON,,,38.2863,-85.5582
FOOD SERVICE,,,38.2907,-85.5106
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,97,A,38.1967,-85.784
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,99,A,38.2424,-85.7616
FOOD SERVICE,99,A,38.1712,-85.7681
FOOD SERVICE,97,A,38.2146,-85.593
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,A,38.1595,-85.7628
FOOD SERVICE,100,,38.154,-85.4155
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,A,38.1319,-85.5773
FOOD SERVICE,,,38.1086,-85.6475
FOOD SERVICE,100,A,38.1452,-85.4448
FOOD SERVICE,100,A,38.2568,-85.7669
FOOD SERVICE,99,A,38.2193,-85.6273
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.1978,-85.5986
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,,38.1454,-85.6273
FOOD SERVICE,82,C,38.2945,-85.5591
FOOD SERVICE,85,C,38.1755,-85.7131
FOOD SERVICE,96,A,38.227,-85.7422
"RETAIL-FOOD  10,000 SQ FT OR LESS",,,38.1024,-85.8691
FOOD SERVICE,100,A,38.253,-85.7358
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,,38.2608,-85.7808
FOOD SERVICE,100,A,38.2511,-85.7568
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,,38.2459,-85.5763
"RETAIL-FOOD  10,000 SQ FT OR LESS",99,,38.2859,-85.5786
FOOD SERVICE,,,38.2178,-85.7556
FOOD SERVICE,,,38.2198,-85.7626
FOOD SERVICE,,,38.2272,-85.7083
FOOD SERVICE,,,38.2145,-85.7966
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,,38.2859,-85.5786
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,,38.2805,-85.6347
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,,38.3118,-85.5675
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,,38.1275,-85.7484
FOOD SERVICE,95,A,38.1214,-85.8034
FOOD SERVICE,98,A,38.1743,-85.8796
PRE-PACKAGED RETAIL,100,,38.1689,-85.8822
FOOD SERVICE,95,A,38.195,-85.6531
FOOD SERVICE,98,A,38.1768,-85.6191
FOOD SERVICE,96,A,38.2319,-85.7101
FOOD SERVICE,91,A,38.2148,-85.7417
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,98,,38.164,-85.6802
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,A,38.1784,-85.6601
FOOD SERVICE,97,B,38.1375,-85.6137
FOOD SERVICE,96,A,38.315,-85.5637
FOOD SERVICE,98,A,38.2521,-85.6544
PRE-PACKAGED RETAIL,100,,38.2592,-85.706
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,,38.183,-85.8538
FOOD SERVICE,76,C,38.1518,-85.8348
FOOD SERVICE,96,A,38.248,-85.7444
FOOD SERVICE,95,A,38.253,-85.703
FOOD SERVICE,,,38.1415,-85.6708
FOOD SERVICE,96,,38.2514,-85.6459
FOOD SERVICE,98,A,38.2444,-85.5761
FOOD SERVICE,100,A,38.236,-85.5757
FOOD SERVICE,100,A,38.254,-85.6623
FOOD SERVICE,95,A,38.113,-85.6758
FOOD SERVICE,86,C,38.1343,-85.6846
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,,38.1819,-85.627
FOOD SERVICE,98,A,38.1388,-85.6199
"RETAIL-FOOD  10,000 SQ FT OR LESS",95,A,38.2582,-85.7871
FOOD SERVICE,92,A,38.1967,-85.7991
FOOD SERVICE,95,A,38.2493,-85.7597
FOOD SERVICE,98,A,38.3248,-85.566
FOOD SERVICE,97,A,38.1734,-85.6862
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,,,38.2442,-85.7989
FOOD SERVICE,100,A,38.2392,-85.7328
FOOD SERVICE,96,,38.1142,-85.7712
FOOD SERVICE,,,38.2379,-85.7206
FOOD SERVICE,98,A,38.2137,-85.5894
FOOD SERVICE,79,C,38.1572,-85.7123
FOOD SERVICE,100,A,38.157,-85.7023
FOOD SERVICE,93,A,38.1086,-85.6475
FOOD SERVICE,100,A,38.2448,-85.7848
FOOD SERVICE,92,A,38.2231,-85.7519
FOOD SERVICE,98,A,38.2104,-85.5963
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.2477,-85.7708
FOOD SERVICE,99,A,38.2616,-85.7746
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,99,A,38.2619,-85.7909
FOOD SERVICE (HOSPITAL / NURSING HOME,98,A,38.1424,-85.7896
FOOD SERVICE,92,A,38.3008,-85.5492
FOOD SERVICE,100,A,38.2945,-85.5591
FOOD SERVICE,99,A,38.2278,-85.541
