DataExtractDate,ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
05/01/2014 12:00:00 AM,2008/07/01,Imperial Terminal,Arrival,Domestic,2897659
05/01/2014 12:00:00 AM,2008/07/01,Imperial Terminal,Departure,Domestic,2893909
05/01/2014 12:00:00 AM,2008/08/01,Imperial Terminal,Arrival,Domestic,2873080
05/01/2014 12:00:00 AM,2008/08/01,Imperial Terminal,Departure,Domestic,2842205
05/01/2014 12:00:00 AM,2008/09/01,Misc. Terminal,Arrival,Domestic,2245083
05/01/2014 12:00:00 AM,2008/09/01,Misc. Terminal,Departure,Domestic,2219961
05/01/2014 12:00:00 AM,2008/10/01,Misc. Terminal,Arrival,Domestic,2325932
05/01/2014 12:00:00 AM,2008/10/01,Misc. Terminal,Departure,Domestic,2355366
05/01/2014 12:00:00 AM,2008/11/01,Misc. Terminal,Arrival,Domestic,2124962
05/01/2014 12:00:00 AM,2008/11/01,Misc. Terminal,Departure,Domestic,2151406
05/01/2014 12:00:00 AM,2008/12/01,Misc. Terminal,Arrival,Domestic,2300247
05/01/2014 12:00:00 AM,2008/12/01,Misc. Terminal,Departure,Domestic,2357341
05/01/2014 12:00:00 AM,2009/01/01,Misc. Terminal,Arrival,Domestic,2165909
05/01/2014 12:00:00 AM,2009/01/01,Misc. Terminal,Departure,Domestic,2102480
05/01/2014 12:00:00 AM,2009/02/01,Misc. Terminal,Arrival,Domestic,1893728
05/01/2014 12:00:00 AM,2009/02/01,Misc. Terminal,Departure,Domestic,1897972
05/01/2014 12:00:00 AM,2009/03/01,Misc. Terminal,Arrival,Domestic,2277503
05/01/2014 12:00:00 AM,2009/03/01,Misc. Terminal,Departure,Domestic,2294592
05/01/2014 12:00:00 AM,2009/04/01,Misc. Terminal,Arrival,Domestic,2323255
05/01/2014 12:00:00 AM,2009/04/01,Misc. Terminal,Departure,Domestic,2318213
05/01/2014 12:00:00 AM,2009/05/01,Misc. Terminal,Arrival,Domestic,2318516
05/01/2014 12:00:00 AM,2009/05/01,Terminal 1,Departure,Domestic,2327340
05/01/2014 12:00:00 AM,2009/06/01,Misc. Terminal,Arrival,Domestic,2472257
05/01/2014 12:00:00 AM,2009/06/01,Misc. Terminal,Departure,Domestic,2568234
05/01/2014 12:00:00 AM,2009/07/01,Imperial Terminal,Arrival,International,2807508
05/01/2014 12:00:00 AM,2009/07/01,Imperial Terminal,Departure,International,2796902
05/01/2014 12:00:00 AM,2009/08/01,Misc. Terminal,Arrival,Domestic,2739386
05/01/2014 12:00:00 AM,2009/08/01,Misc. Terminal,Departure,Domestic,2698056
05/01/2014 12:00:00 AM,2009/09/01,Misc. Terminal,Arrival,International,2266941
05/01/2014 12:00:00 AM,2009/09/01,Terminal 1,Departure,Domestic,2243918
05/01/2014 12:00:00 AM,2009/10/01,Imperial Terminal,Arrival,Domestic,2371490
05/01/2014 12:00:00 AM,2009/10/01,Misc. Terminal,Departure,Domestic,2390142
05/01/2014 12:00:00 AM,2009/11/01,Misc. Terminal,Arrival,Domestic,2191665
05/01/2014 12:00:00 AM,2009/11/01,Misc. Terminal,Departure,Domestic,2228044
05/01/2014 12:00:00 AM,2009/12/01,Misc. Terminal,Arrival,Domestic,2404474
05/01/2014 12:00:00 AM,2009/12/01,Misc. Terminal,Departure,Domestic,2422318
05/01/2014 12:00:00 AM,2010/01/01,Misc. Terminal,Arrival,Domestic,2290727
05/01/2014 12:00:00 AM,2010/01/01,Misc. Terminal,Departure,Domestic,2318993
05/01/2014 12:00:00 AM,2010/02/01,Misc. Terminal,Arrival,Domestic,1974646
05/01/2014 12:00:00 AM,2010/02/01,Misc. Terminal,Departure,Domestic,1985673
05/01/2014 12:00:00 AM,2010/03/01,Misc. Terminal,Arrival,Domestic,2398204
05/01/2014 12:00:00 AM,2010/03/01,Misc. Terminal,Departure,Domestic,2413822
05/01/2014 12:00:00 AM,2010/04/01,Misc. Terminal,Arrival,Domestic,2344283
05/01/2014 12:00:00 AM,2010/04/01,Misc. Terminal,Departure,Domestic,2342663
05/01/2014 12:00:00 AM,2010/05/01,Misc. Terminal,Arrival,Domestic,2484601
05/01/2014 12:00:00 AM,2010/05/01,Misc. Terminal,Departure,Domestic,2471995
05/01/2014 12:00:00 AM,2010/06/01,Imperial Terminal,Arrival,Domestic,2620778
05/01/2014 12:00:00 AM,2010/06/01,Imperial Terminal,Departure,Domestic,2690616
05/01/2014 12:00:00 AM,2010/07/01,Misc. Terminal,Arrival,Domestic,2869180
05/01/2014 12:00:00 AM,2010/07/01,Misc. Terminal,Departure,Domestic,2823681
05/01/2014 12:00:00 AM,2010/08/01,Misc. Terminal,Arrival,Domestic,2819469
