Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
64134;Kansas City;MO;38.928206;-94.49832;-6;1;38.928206,-94.49832
64114;Kansas City;MO;38.966056;-94.59641;-6;1;38.966056,-94.59641
64192;Kansas City;MO;38.953942;-94.5237;-6;1;38.953942,-94.5237
64199;Kansas City;MO;39.035038;-94.356728;-6;1;39.035038,-94.356728
64110;Kansas City;MO;39.033505;-94.57286;-6;1;39.033505,-94.57286
64166;Kansas City;MO;39.322849;-94.50755;-6;1;39.322849,-94.50755
64116;Kansas City;MO;39.14912;-94.57314;-6;1;39.14912,-94.57314
64130;Kansas City;MO;39.034838;-94.54507;-6;1;39.034838,-94.54507
66103;Kansas City;KS;39.059254;-94.62453;-6;1;39.059254,-94.62453
64149;Kansas City;MO;38.872285;-94.46712;-6;1;38.872285,-94.46712
64151;Kansas City;MO;39.215652;-94.63021;-6;1;39.215652,-94.63021
64194;Kansas City;MO;39.035038;-94.356728;-6;1;39.035038,-94.356728
64170;Kansas City;MO;39.035038;-94.356728;-6;1;39.035038,-94.356728
